Date,Time,,VDD (SWA) Voltage [V],VDDQ (SWB) Voltage [V],VPP (SWC) Voltage [V],1.8V VOUT Voltage [V],1.0V VOUT Voltage [V],VIN Voltage [V],Total Power [W],PMIC High Temperature [Yes/No],PMIC Over Voltage [Yes/No],PMIC Under Voltage [Yes/No],SPD Hub Temperature [C],VDD (SWA) Voltage [V],VDDQ (SWB) Voltage [V],VPP (SWC) Voltage [V],1.8V VOUT Voltage [V],1.0V VOUT Voltage [V],VIN Voltage [V],Total Power [W],PMIC High Temperature [Yes/No],PMIC Over Voltage [Yes/No],PMIC Under Voltage [Yes/No]
30.11.2025,23:55.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No,48.8,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No
30.11.2025,23:57.5,,1.095,1.095,1.8,1.785,0.99,5.04,0.125,No,No,No,48.8,1.095,1.095,1.8,1.8,0.99,5.04,0.625,No,No,No
30.11.2025,23:59.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.875,No,No,No,49,1.095,1.095,1.8,1.785,0.99,5.04,0.625,No,No,No
30.11.2025,24:01.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.625,No,No,No,49,1.095,1.095,1.8,1.785,1.005,4.97,0.375,No,No,No
30.11.2025,24:03.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.375,No,No,No,49,1.08,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No
30.11.2025,24:05.5,,1.095,1.095,1.8,1.785,1.005,5.04,1.5,No,No,No,49,1.095,1.095,1.8,1.785,1.005,5.04,1.25,No,No,No
30.11.2025,24:07.6,,1.095,1.095,1.8,1.785,1.005,5.04,1.5,No,No,No,49.2,1.095,1.095,1.8,1.785,1.005,5.04,1.25,No,No,No
30.11.2025,24:09.5,,1.095,1.095,1.8,1.8,1.005,5.04,1.25,No,No,No,49.5,1.095,1.095,1.8,1.8,1.005,5.04,1.25,No,No,No
30.11.2025,24:12.0,,1.095,1.095,1.8,1.8,1.005,5.04,1.875,No,No,No,50,1.095,1.095,1.8,1.8,0.975,5.04,2.25,No,No,No
30.11.2025,24:13.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.75,No,No,No,50,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No
30.11.2025,24:15.6,,1.095,1.095,1.8,1.8,1.005,5.04,2.125,No,No,No,50.5,1.08,1.095,1.8,1.8,1.005,5.04,2.125,No,No,No
30.11.2025,24:17.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.125,No,No,No,50.8,1.095,1.11,1.8,1.8,1.005,5.04,0.875,No,No,No
30.11.2025,24:19.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.375,No,No,No,51,1.095,1.095,1.815,1.8,1.005,5.04,0.375,No,No,No
30.11.2025,24:21.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.375,No,No,No,50.8,1.095,1.095,1.8,1.8,1.005,5.04,0.375,No,No,No
30.11.2025,24:23.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.25,No,No,No,50.8,1.095,1.095,1.8,1.8,0.99,5.04,0.625,No,No,No
30.11.2025,24:25.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.25,No,No,No,50.8,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No
30.11.2025,24:27.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.25,No,No,No,50.8,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No
